Date,Open,High,Low,Close,Volume
1998-12-31,1017.01,1244.93,923.32,1229.23,25907988890
1999-03-31,1229.23,1323.82,1205.46,1286.37,27095477779
1999-06-30,1286.37,1375.98,1277.31,1372.71,28045905560
1999-09-30,1372.71,1420.33,1256.26,1282.71,26438988889
1999-12-31,1282.71,1473.13,1233.7,1469.25,31587505556
2000-03-31,1469.25,1552.87,1325.07,1498.58,38090333338
2000-06-30,1498.58,1527.19,1339.4,1454.6,34301700000
2000-09-30,1454.6,1530.09,1413.89,1436.51,33495055555
2000-12-31,1436.52,1454.82,1254.07,1320.28,38941388893
2001-03-31,1320.28,1383.37,1081.19,1160.33,42933783333
2001-06-30,1160.33,1315.93,1091.99,1224.38,41491066667
2001-09-30,1224.42,1239.78,944.75,1040.94,40099000000
2001-12-31,1040.94,1173.62,1026.76,1148.08,45227694447
2002-03-31,1148.08,1176.97,1074.36,1147.39,45753888890
2002-06-30,1147.39,1147.84,952.92,989.82,47475505555
2002-09-30,989.82,994.46,775.68,815.28,55139349998
2002-12-31,815.28,954.28,768.63,879.82,51694950001
2003-03-31,879.82,935.05,788.9,848.18,47813838888
2003-06-30,848.18,1015.33,847.85,974.5,51022838889
2003-09-30,974.5,1040.29,960.84,995.97,47985988889
2003-12-31,995.97,1112.56,995.97,1111.92,47000472223
2004-03-31,1111.92,1163.23,1087.16,1126.21,52446388885
2004-06-30,1126.21,1150.57,1076.32,1140.84,49148777778
2004-09-30,1140.84,1140.84,1060.72,1114.58,45945705553
2004-12-31,1114.58,1217.33,1090.29,1211.92,51707655555
2005-03-31,1211.92,1229.11,1163.69,1180.59,55450199999
2005-06-30,1180.59,1219.59,1136.15,1191.33,68377944443
2005-09-30,1191.33,1245.86,1183.55,1228.81,69040149998
2005-12-31,1228.81,1275.8,1168.2,1248.29,75918216666
2006-03-31,1248.29,1310.88,1245.74,1294.87,79431461113
2006-06-30,1302.88,1326.7,1219.29,1270.2,84719177777
2006-09-30,1270.06,1340.28,1224.54,1335.85,81019600001
2006-12-31,1335.82,1431.81,1327.1,1418.3,88731294442
2007-03-31,1418.03,1461.57,1363.98,1420.86,97863022219
2007-06-30,1420.83,1540.56,1416.37,1503.35,104062955555
2007-09-30,1504.66,1555.9,1370.6,1526.75,121960494445
2007-12-31,1527.29,1576.09,1406.1,1468.36,126161777776
2008-03-31,1467.97,1471.77,1256.98,1322.7,150111466665
2008-06-30,1326.41,1440.24,1272,1280,146435083333
2008-09-30,1276.69,1313.15,1106.42,1166.36,195141055553
2008-12-31,1164.17,1167.03,741.02,903.25,215759838888
2009-03-31,902.99,943.85,666.79,797.87,221348050000
2009-06-30,793.59,956.23,783.32,919.32,212846338891
2009-09-30,920.82,1080.15,869.32,1057.08,186105861111
2009-12-31,1054.91,1130.38,1019.95,1115.1,159948805551
2010-03-31,1116.56,1180.69,1044.5,1169.43,155106927778
2010-06-30,1171.23,1219.8,1028.33,1030.71,196950799998
2010-09-30,1031.1,1157.16,1010.91,1141.2,144503227771
2010-12-31,1143.49,1262.6,1131.87,1257.64,143151038891
2011-03-31,1257.62,1344.07,1249.05,1325.83,133831244446
2011-06-30,1329.48,1370.58,1258.07,1320.64,136220288892
2011-09-30,1320.64,1356.48,1101.54,1131.42,162393422223
2011-12-31,1131.21,1292.66,1074.77,1257.6,142822861111
2012-03-31,1258.86,1419.15,1258.86,1408.47,134362738890
2012-06-30,1408.47,1422.38,1266.74,1362.16,135147022222
2012-09-30,1362.33,1474.51,1325.41,1440.67,118428833330
2012-12-31,1440.9,1470.96,1343.35,1426.19,116461005555
2013-03-31,1426.19,1570.28,1426.19,1569.19,118693944444
2013-06-30,1569.18,1687.18,1536.03,1606.28,126940022225
2013-09-30,1609.78,1729.86,1604.57,1681.55,110602244443
2013-12-31,1682.41,1849.44,1646.47,1848.36,114019116665
2014-03-31,1845.86,1883.97,1737.92,1872.34,120823627780
2014-06-30,1873.96,1968.17,1814.36,1960.23,110279344446
2014-09-30,1962.29,2019.26,1904.78,1972.29,106312127775
2014-12-31,1971.44,2093.55,1820.66,2058.9,132254472223
2015-03-31,2058.9,2119.59,1980.9,2067.89,123767472224
2015-06-30,2067.63,2134.72,2048.38,2063.11,116923694443
2015-09-30,2067,2132.82,1867.01,1920.03,134742638889
2015-12-31,1919.65,2116.48,1893.7,2043.94,136354305557
2016-03-31,2038.2,2072.21,1810.1,2059.74,154499305556
2016-06-30,2056.62,2120.55,1991.68,2098.86,137145161112
2016-09-30,2099.34,2193.81,2074.02,2168.27,123561555557
2016-12-31,2164.33,2277.53,2083.79,2238.83,131526461111
2017-03-31,2251.57,2400.98,2245.13,2362.72,122885205557
2017-06-30,2362.34,2453.82,2328.95,2423.41,125486294445
2017-09-30,2431.39,2519.44,2407.7,2519.36,111179672224
2017-12-31,2521.2,2694.97,2520.4,2673.61,116275566667
2018-03-31,2683.73,2872.87,2532.69,2640.87,129338516670
2018-06-30,2633.45,2791.47,2553.8,2718.37,123725322222
2018-09-30,2704.95,2940.91,2698.95,2913.98,109040261110
2018-12-31,2926.29,2939.86,2346.58,2506.85,141628116667
2019-03-31,2476.96,2860.31,2443.96,2834.4,127322966669
2019-06-30,2848.63,2964.15,2728.81,2941.76,120747972224
2019-09-30,2971.41,3027.98,2822.12,2976.74,124411800005
2019-12-31,2983.69,3247.93,2855.94,3230.78,123221372223
2020-03-31,3244.67,3393.52,2191.86,2584.59,179554327773
2020-06-30,2498.08,3233.13,2447.49,3100.29,201430475106
2020-09-30,3105.92,3588.11,3101.17,3363,156120545874
2020-12-31,3385.87,3760.2,3233.94,3756.07,154839537496
2021-03-31,3764.61,3994.41,3662.71,3972.89,158335793071
2021-06-30,3992.78,4302.43,3992.78,4297.5,135069324655
2021-09-30,4300.73,4545.85,4233.13,4307.54,126231767763
2021-12-31,4317.16,4808.93,4278.94,4766.18,138956538724
2022-03-31,4778.14,4818.62,4114.65,4530.41,167444346581
2022-06-30,4540.32,4593.45,3636.87,3785.38,159039054730
2022-09-30,3781,4325.28,3584.13,3585.62,144944774392.35
2022-12-31,3609.78,4100.96,3491.58,3839.5,157551700289
2023-03-31,3853.29,4195.44,3794.33,4109.31,160971609689
2023-06-30,4102.2,4458.48,4048.28,4450.38,150710932130
2023-09-30,4450.48,4607.07,4238.63,4288.05,138676518574
2023-12-31,4284.52,4793.3,4103.78,4769.83,151087743525
2024-03-31,4745.2,5264.8,4682.11,5254.35,151765339198
2024-06-30,5257.97,5523.45,4953.56,5460.48,150367098791
2024-09-30,5471.08,5767.37,5119.26,5762.48,168901545513
2024-12-31,5757.73,6099.97,5674,5881.63,166013255701
2025-03-31,5903.26,6147.43,5489,5611.85,189201982667
2025-06-30,5597.53,6016.48,4835.04,6000.36,159126432888
