Date,Open,High,Low,Close,Volume
2009-03-31,1781.51,1959.95,1455.47,1699.99,20624928288
2009-06-30,1696.4,2424.52,1689.87,2333.14,30086375872
2009-09-30,2329.37,2707.24,2235.45,2672.57,26787928128
2009-12-31,2662.74,2897.62,2576.84,2897.62,17805669812
2010-03-31,2891.35,2947.08,2665.97,2887.46,22596754096
2010-06-30,2898.76,3037.97,2648.15,2835.51,20725409888
2010-09-30,2819.74,3125.72,2819.74,3097.63,21158498800
2010-12-31,3106.92,3313.61,3101.46,3190.04,21660070820
2011-03-31,3211.22,3280.77,2919.98,3105.85,21581781328
2011-06-30,3107.9,3208.34,2999.19,3120.44,18608489984
2011-09-30,3131.74,3227.28,2627.24,2675.16,25385953552
2011-12-31,2642.68,2905.72,2521.95,2646.35,19930558388
2012-03-31,2658.17,3035.78,2657.77,3010.46,22173935632
2012-06-30,3013.37,3033.15,2698.9,2878.45,16204880752
2012-09-30,2902.09,3088.45,2888.05,3060.34,16772617824
2012-12-31,3054.57,3195.74,2931.6,3167.08,16964236392
2013-03-31,3188.59,3321.62,3160.83,3308.1,16673320368
2013-06-30,3313.37,3464.79,3065.42,3150.44,20462880712
2013-09-30,3147.49,3277.55,2990.68,3167.87,16050594656
2013-12-31,3180.72,3235.25,3025.41,3167.43,12921786132
2014-03-31,3179.67,3194.2,2953.01,3188.62,13487035728
2014-06-30,3202.18,3311.12,3181.89,3255.67,13337517416
2014-09-30,3247.86,3387.84,3234.14,3276.74,11914909552
2014-12-31,3267.96,3373.93,3149.91,3365.15,14262442636
2015-03-31,3364.08,3469.02,3267.89,3447.01,15394183528
2015-06-30,3439.76,3549.85,3267.68,3317.33,14912915712
2015-09-30,3317.47,3383.56,2740.36,2790.89,19012959952
2015-12-31,2795.4,3104.72,2765.44,2882.73,15645875512
2016-03-31,2889.23,2906.8,2528.44,2840.9,19513045120
2016-06-30,2829.83,2964.1,2703.48,2840.93,14892360064
2016-09-30,2848.45,2958.9,2791.38,2869.47,13285323248
2016-12-31,2879.85,2980.77,2760.97,2880.76,15511891528
2017-03-31,2887,3188.02,2869.66,3175.11,15633791944
2017-06-30,3180.27,3275.39,3113.9,3226.48,14213067312
2017-09-30,3228.91,3354.71,3193.41,3219.91,14208933952
2017-12-31,3233.95,3469.36,3230.81,3402.92,12821639728
2018-03-31,3406.48,3611.69,3340.55,3427.97,16323702256
2018-06-30,3439.04,3641.65,3237.77,3268.7,16514565184
2018-09-30,3277.43,3347.98,3102.73,3257.05,14632256080
2018-12-31,3262.43,3272.88,2955.68,3068.76,14022604485
2019-03-31,3072.99,3286.08,2993.42,3212.88,12765398269
2019-06-30,3229.11,3415.18,3104.03,3321.61,13327540251
2019-09-30,3339.58,3386.65,3040.16,3119.99,13934966037
2019-12-31,3130.11,3285.72,3068.83,3222.83,16145721601
2020-03-31,3230.48,3283.89,2208.42,2481.23,20866967265
2020-06-30,2468.17,2839.39,2380.84,2589.91,23002039989
2020-09-30,2604.08,2707.67,2448,2466.62,16300549431
2020-12-31,2479.29,2920.55,2420.84,2843.81,18336951431
2021-03-31,2846.2,3204.24,2832.04,3165.34,18439665037
2021-06-30,3187.17,3237.23,3023.95,3130.46,16737366814
2021-09-30,3140.25,3207.99,3037.79,3086.7,15863784820
2021-12-31,3072.54,3273.54,3041.29,3123.68,14862171409
2022-03-31,3130.48,3466.23,3127.6,3408.52,17817506448
2022-06-30,3403.93,3445.9,3072.34,3102.21,16421714128
2022-09-30,3104.25,3307.29,3088.25,3130.24,13981782035
2022-12-31,3113,3313.8,2968.87,3251.32,15526909201
2023-03-31,3243.99,3408.19,3094.28,3258.9,17384153615
2023-06-30,3272.48,3331.66,3155.52,3205.91,16016950044
2023-09-30,3215.56,3392.63,3128.7,3217.41,33703121056
2023-12-31,3226.53,3250.05,3041.67,3240.27,29073179024
2024-03-31,3240.83,3262.52,3092.4,3224.01,45121396284
2024-06-30,3231.48,3355.63,3136.44,3332.8,33031955081
2024-09-30,3334.71,3652.62,3198.44,3585.29,20733422305
2024-12-31,3593.42,3842.71,3524.33,3787.6,17831525452
2025-03-31,3790.36,4005.18,3765.41,3972.43,16895477005
2025-06-30,3950.77,3980.28,3372.38,3934.29,14885454078
